                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.87747,                0.45187,                0.98692,                0.88065,                0.81704,                0.89276,                0.53229,                 1.4821,                0.70589,                 1.4139,               0.003367,               0.003367,               0.003367
                     69,                0.87416,                0.45053,                0.98503,                0.88081,                0.81941,                0.89603,                0.53835,                 1.4619,                0.69372,                 1.3976,               0.003268,               0.003268,               0.003268
                     70,                0.86359,                0.43884,                0.97555,                0.87537,                0.82271,                0.89608,                0.54025,                 1.4575,                0.69375,                 1.3813,               0.003169,               0.003169,               0.003169
                     71,                0.86407,                0.43978,                0.97543,                0.88274,                0.82271,                 0.8989,                0.54036,                 1.4665,                0.69568,                 1.3854,                0.00307,                0.00307,                0.00307
                     72,                0.85834,                0.43476,                0.97828,                0.87953,                0.81398,                0.89575,                0.54192,                 1.4506,                0.69465,                 1.3889,               0.002971,               0.002971,               0.002971
                     73,                 0.8457,                0.43199,                0.97106,                0.87511,                0.82649,                0.89784,                0.54057,                 1.4553,                0.69424,                 1.4068,               0.002872,               0.002872,               0.002872
                     74,                0.83487,                0.42916,                0.97441,                0.88198,                0.82215,                0.89778,                0.54067,                 1.4573,                0.69919,                 1.4024,               0.002773,               0.002773,               0.002773
                     75,                0.83198,                0.42132,                0.97146,                0.88319,                0.81988,                0.89896,                 0.5395,                 1.4584,                0.70539,                 1.4097,               0.002674,               0.002674,               0.002674
                     76,                0.82513,                0.42125,                0.96167,                0.87508,                0.82318,                0.89458,                0.53807,                 1.4521,                0.69772,                  1.401,               0.002575,               0.002575,               0.002575
                     77,                0.81107,                0.41369,                0.96022,                0.87909,                  0.822,                 0.8951,                0.53605,                 1.4679,                0.70598,                 1.4169,               0.002476,               0.002476,               0.002476
                     78,                0.80938,                0.41405,                0.95578,                0.87697,                0.82035,                 0.8934,                0.53857,                 1.4653,                0.70859,                 1.4074,               0.002377,               0.002377,               0.002377
                     79,                0.80148,                0.41108,                0.95519,                0.88069,                0.81724,                0.89287,                0.53819,                 1.4636,                0.70947,                 1.4101,               0.002278,               0.002278,               0.002278
                     80,                0.79377,                0.40365,                0.94962,                0.89195,                0.81073,                0.89408,                0.54063,                 1.4619,                0.70422,                 1.4189,               0.002179,               0.002179,               0.002179
                     81,                0.78734,                0.39852,                0.94777,                0.88888,                0.81209,                0.89327,                0.53877,                 1.4571,                0.70423,                 1.4116,                0.00208,                0.00208,                0.00208
                     82,                0.78233,                0.39992,                0.94577,                0.87499,                0.82106,                0.89512,                0.54004,                 1.4576,                 0.7095,                 1.4128,               0.001981,               0.001981,               0.001981
                     83,                0.76046,                0.38837,                0.93654,                0.88064,                0.81338,                 0.8932,                  0.539,                 1.4647,                0.71796,                 1.4206,               0.001882,               0.001882,               0.001882
                     84,                0.76468,                0.39493,                 0.9405,                0.87742,                 0.8128,                0.89446,                0.54117,                 1.4577,                0.70852,                 1.4163,               0.001783,               0.001783,               0.001783
                     85,                 0.7555,                0.38517,                0.93852,                0.88478,                 0.8102,                0.89443,                0.54147,                 1.4604,                0.71127,                 1.4256,               0.001684,               0.001684,               0.001684
                     86,                0.74871,                  0.386,                 0.9374,                0.87977,                0.81533,                 0.8938,                0.54115,                 1.4606,                0.71653,                 1.4267,               0.001585,               0.001585,               0.001585
                     87,                 0.7454,                0.38289,                0.93607,                0.88534,                0.80753,                0.89245,                0.54167,                 1.4614,                0.71563,                 1.4345,               0.001486,               0.001486,               0.001486
                     88,                0.73841,                0.37784,                0.93729,                0.88382,                0.81091,                0.89168,                0.54171,                 1.4615,                0.71689,                 1.4366,               0.001387,               0.001387,               0.001387
                     89,                0.73353,                0.37481,                0.93288,                0.87928,                0.81162,                0.89149,                0.54127,                 1.4597,                0.71855,                  1.443,               0.001288,               0.001288,               0.001288
                     90,                0.69533,                0.31545,                0.90671,                0.87559,                 0.8174,                0.89031,                 0.5395,                 1.4616,                0.72417,                  1.446,               0.001189,               0.001189,               0.001189
                     91,                0.67624,                0.31054,                0.90181,                0.87428,                0.81591,                0.89221,                0.54366,                 1.4575,                0.72456,                 1.4388,                0.00109,                0.00109,                0.00109
                     92,                0.67078,                 0.3033,                0.89516,                0.86351,                0.82271,                 0.8898,                 0.5427,                 1.4607,                0.73212,                 1.4438,               0.000991,               0.000991,               0.000991
                     93,                0.65936,                0.30259,                0.89757,                0.87709,                0.80737,                0.88799,                0.54089,                 1.4605,                0.73687,                 1.4469,               0.000892,               0.000892,               0.000892
                     94,                0.64713,                0.29631,                0.88642,                0.86946,                0.81539,                 0.8897,                0.54019,                 1.4628,                0.73347,                 1.4513,               0.000793,               0.000793,               0.000793
                     95,                0.64109,                0.29395,                0.88658,                0.87338,                0.81418,                0.89057,                0.54128,                 1.4642,                0.73089,                 1.4552,               0.000694,               0.000694,               0.000694
                     96,                0.63026,                0.28824,                0.87968,                 0.8699,                 0.8187,                0.89236,                0.54404,                 1.4631,                0.73515,                 1.4543,               0.000595,               0.000595,               0.000595
                     97,                0.62041,                0.28605,                0.88175,                0.89046,                0.79981,                0.89198,                0.54402,                 1.4618,                0.73613,                 1.4606,               0.000496,               0.000496,               0.000496
                     98,                0.61222,                0.28296,                0.87687,                0.87002,                0.81657,                0.89022,                0.54353,                 1.4642,                0.74201,                 1.4627,               0.000397,               0.000397,               0.000397
                     99,                0.60778,                0.28077,                0.87133,                0.88585,                 0.8043,                0.89061,                0.54351,                  1.464,                 0.7489,                  1.465,               0.000298,               0.000298,               0.000298
