                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.229,                0.72093,                 1.0749,                0.85726,                0.79084,                0.87396,                0.50697,                  1.472,                0.78781,                 1.2061,               0.004654,               0.004654,               0.004654
                     56,                 1.2274,                0.73083,                 1.0693,                0.86771,                0.78661,                0.87078,                0.50476,                 1.4794,                0.79232,                 1.2158,               0.004555,               0.004555,               0.004555
                     57,                  1.213,                0.71965,                 1.0633,                0.85132,                0.78534,                0.87284,                 0.4995,                 1.4865,                0.79475,                 1.2165,               0.004456,               0.004456,               0.004456
                     58,                 1.2053,                0.71044,                 1.0608,                0.86988,                0.79064,                0.87562,                0.50152,                 1.4957,                0.77633,                 1.2179,               0.004357,               0.004357,               0.004357
                     59,                  1.222,                0.71877,                 1.0648,                0.85753,                0.79432,                0.87958,                0.50689,                 1.4742,                0.78253,                 1.2059,               0.004258,               0.004258,               0.004258
                     60,                 1.2066,                0.70907,                 1.0682,                0.85392,                0.79344,                0.87283,                0.50564,                  1.475,                0.78868,                 1.2198,               0.004159,               0.004159,               0.004159
                     61,                  1.197,                0.70463,                 1.0611,                0.86999,                0.76912,                0.86876,                0.50355,                 1.4806,                0.79626,                 1.2205,                0.00406,                0.00406,                0.00406
                     62,                 1.2005,                0.69804,                 1.0559,                0.85688,                0.79226,                0.87404,                0.50454,                 1.4738,                0.78871,                 1.2104,               0.003961,               0.003961,               0.003961
                     63,                 1.1858,                0.69382,                 1.0546,                0.86527,                0.78872,                 0.8707,                 0.4965,                 1.4926,                0.77383,                 1.2222,               0.003862,               0.003862,               0.003862
                     64,                 1.1982,                0.69485,                  1.056,                0.84903,                0.79769,                0.87582,                0.50627,                 1.4807,                0.76927,                 1.2145,               0.003763,               0.003763,               0.003763
                     65,                 1.1996,                0.69796,                 1.0603,                0.85858,                0.79688,                0.87666,                0.50861,                 1.4708,                0.76108,                 1.2061,               0.003664,               0.003664,               0.003664
                     66,                 1.1689,                0.67899,                 1.0452,                0.87312,                0.78777,                0.88151,                0.50911,                 1.4707,                0.76271,                 1.1978,               0.003565,               0.003565,               0.003565
                     67,                 1.1592,                 0.6686,                 1.0409,                0.85788,                0.79816,                0.87823,                0.50742,                 1.4753,                0.76087,                 1.2149,               0.003466,               0.003466,               0.003466
                     68,                 1.1674,                 0.6734,                 1.0453,                0.85717,                0.79336,                0.87731,                0.50789,                 1.4737,                0.76591,                 1.2149,               0.003367,               0.003367,               0.003367
                     69,                 1.1612,                0.67212,                 1.0386,                0.86731,                 0.7931,                0.87806,                0.50402,                 1.4911,                0.76281,                 1.2188,               0.003268,               0.003268,               0.003268
                     70,                 1.1511,                0.65859,                 1.0344,                0.86066,                0.79759,                0.87877,                0.50701,                 1.4889,                0.75651,                 1.2143,               0.003169,               0.003169,               0.003169
                     71,                 1.1563,                0.66158,                 1.0337,                0.86394,                 0.7899,                0.87233,                0.50382,                 1.4925,                0.76703,                 1.2225,                0.00307,                0.00307,                0.00307
                     72,                 1.1516,                0.65532,                 1.0342,                0.87288,                0.78659,                0.88058,                0.51354,                 1.4625,                0.75343,                 1.2073,               0.002971,               0.002971,               0.002971
                     73,                 1.1534,                0.65464,                 1.0322,                0.85164,                0.80194,                0.87618,                0.50386,                 1.4932,                0.75382,                 1.2236,               0.002872,               0.002872,               0.002872
                     74,                 1.1283,                 0.6438,                 1.0278,                0.85808,                0.79502,                0.88283,                0.50817,                 1.4874,                0.75813,                  1.217,               0.002773,               0.002773,               0.002773
                     75,                 1.1401,                0.64584,                 1.0321,                0.85588,                0.79489,                0.87628,                0.50798,                 1.4821,                0.76661,                 1.2143,               0.002674,               0.002674,               0.002674
                     76,                 1.1263,                0.63755,                 1.0287,                0.85309,                0.79783,                0.87586,                0.50393,                  1.493,                0.76676,                 1.2241,               0.002575,               0.002575,               0.002575
                     77,                 1.1274,                0.63166,                  1.029,                0.86051,                 0.7899,                0.87547,                0.50181,                 1.5073,                0.77132,                 1.2319,               0.002476,               0.002476,               0.002476
                     78,                 1.1248,                0.63334,                 1.0223,                0.87032,                0.78744,                0.87624,                0.50556,                 1.4944,                0.76751,                 1.2219,               0.002377,               0.002377,               0.002377
                     79,                 1.1197,                0.62994,                 1.0232,                 0.8721,                0.78683,                0.87918,                0.50837,                 1.4857,                0.76003,                 1.2255,               0.002278,               0.002278,               0.002278
                     80,                 1.0997,                0.62095,                 1.0177,                 0.8622,                0.79765,                0.87826,                0.50573,                   1.49,                0.76485,                 1.2284,               0.002179,               0.002179,               0.002179
                     81,                 1.1015,                0.61032,                 1.0134,                0.86551,                0.79178,                0.87845,                0.50273,                 1.5056,                0.76527,                 1.2296,                0.00208,                0.00208,                0.00208
                     82,                 1.1036,                0.62706,                 1.0177,                0.85628,                0.79465,                0.87698,                0.50668,                  1.489,                0.76674,                  1.223,               0.001981,               0.001981,               0.001981
                     83,                 1.0909,                0.61081,                 1.0112,                  0.871,                 0.7906,                0.87894,                0.51121,                 1.4823,                 0.7616,                 1.2229,               0.001882,               0.001882,               0.001882
                     84,                 1.0876,                0.61071,                 1.0106,                0.87276,                0.78532,                0.87579,                 0.5045,                 1.4979,                0.75693,                 1.2362,               0.001783,               0.001783,               0.001783
                     85,                 1.0866,                 0.6058,                 1.0137,                0.85246,                0.80477,                0.87475,                0.50258,                  1.503,                0.76211,                 1.2407,               0.001684,               0.001684,               0.001684
                     86,                 1.0763,                0.60181,                 1.0086,                0.86575,                0.79617,                0.87622,                0.50619,                 1.4919,                0.76652,                 1.2325,               0.001585,               0.001585,               0.001585
                     87,                 1.0774,                0.60088,                  1.008,                0.85581,                0.80288,                0.87618,                0.50706,                 1.4911,                0.75807,                 1.2297,               0.001486,               0.001486,               0.001486
                     88,                 1.0819,                0.60002,                 1.0134,                0.87614,                0.78819,                0.87607,                0.50703,                 1.4955,                 0.7603,                 1.2378,               0.001387,               0.001387,               0.001387
                     89,                 1.0721,                0.58945,                 1.0042,                0.88053,                0.78636,                0.87656,                0.50553,                 1.5004,                  0.764,                 1.2393,               0.001288,               0.001288,               0.001288
                     90,                 1.0522,                0.53361,                0.99071,                0.87452,                0.79178,                0.87636,                0.50214,                 1.5021,                0.76285,                 1.2364,               0.001189,               0.001189,               0.001189
                     91,                 1.0353,                0.51804,                0.98866,                0.87336,                0.79202,                0.87506,                0.50271,                 1.5049,                0.76436,                 1.2401,                0.00109,                0.00109,                0.00109
                     92,                 1.0164,                 0.5068,                0.97699,                0.86836,                0.79131,                  0.873,                0.50161,                 1.5068,                0.76375,                 1.2433,               0.000991,               0.000991,               0.000991
                     93,                 1.0135,                0.50273,                0.97915,                0.87028,                  0.784,                0.87122,                0.50179,                 1.5077,                0.76943,                 1.2435,               0.000892,               0.000892,               0.000892
                     94,                 1.0107,                0.49536,                0.97368,                0.86355,                0.79084,                 0.8715,                0.50295,                 1.5056,                0.76779,                 1.2437,               0.000793,               0.000793,               0.000793
                     95,                0.99694,                0.49457,                0.97358,                 0.8701,                0.78352,                0.86998,                0.50053,                 1.5114,                0.76991,                 1.2481,               0.000694,               0.000694,               0.000694
                     96,                0.98424,                0.48419,                0.96494,                0.86652,                0.79081,                0.87083,                0.50197,                 1.5091,                0.76963,                 1.2491,               0.000595,               0.000595,               0.000595
                     97,                0.98837,                0.48437,                0.96767,                0.86678,                 0.7864,                0.87031,                0.50151,                 1.5089,                0.77035,                 1.2457,               0.000496,               0.000496,               0.000496
                     98,                0.98295,                0.47758,                0.96553,                0.87979,                0.78091,                0.87253,                 0.5024,                 1.5065,                0.77258,                 1.2447,               0.000397,               0.000397,               0.000397
                     99,                 0.9731,                0.47683,                0.95936,                0.88128,                0.77738,                0.87079,                0.50052,                 1.5105,                 0.7757,                 1.2492,               0.000298,               0.000298,               0.000298
